Entity,Code,Day,unvaccinated,fully_vaccinated,boosted
18-49,,9/25/2021,1.815550781,0.086959869,0
18-49,,10/2/2021,1.404413884,0.067754753,0.887222226
18-49,,10/9/2021,1.20848938,0.0394851,0.248537358
18-49,,10/16/2021,1.055549163,0.0464333,0
18-49,,10/23/2021,0.971534514,0.0437227,0.108038496
18-49,,10/30/2021,0.9124578,0.0314458,0
18-49,,11/6/2021,0.914839415,0.0434222,0
18-49,,11/13/2021,0.964281763,0.0459941,0.0470402
18-49,,11/20/2021,1.121279744,0.0609766,0.069610737
18-49,,11/27/2021,1.03726539,0.0394568,0.107480856
18-49,,12/4/2021,1.140804802,0.075155453,0
18-49,,12/11/2021,1.124382454,0.0383639,0.0168706
18-49,,12/18/2021,1.00867691,0.0391588,0.0279762
18-49,,12/25/2021,0.845654077,0.0457268,0.0228466
18-49,,1/1/2022,1.053574635,0.130265184,0.0388661
50-64,,9/25/2021,11.87577566,0.506428055,0.565666851
50-64,,10/2/2021,9.319883108,0.47495832,0.70510425
50-64,,10/9/2021,7.58791508,0.39515669,0.995323968
50-64,,10/16/2021,7.209667348,0.399639696,1.106548137
50-64,,10/23/2021,6.018037297,0.333893824,0.291087766
50-64,,10/30/2021,5.843315005,0.299857854,0.368496226
50-64,,11/6/2021,6.687676733,0.38960058,0.231937572
50-64,,11/13/2021,7.125248954,0.379951293,0.0408487
50-64,,11/20/2021,8.13480585,0.512208489,0.243144318
50-64,,11/27/2021,7.861924166,0.578269125,0.266963336
50-64,,12/4/2021,10.30871406,0.586154431,0.195615016
50-64,,12/11/2021,10.28721387,0.505112444,0.178472805
50-64,,12/18/2021,8.557238925,0.613872844,0.193629105
50-64,,12/25/2021,7.491748669,0.518945618,0.176369
50-64,,1/1/2022,8.764584761,1.101117322,0.292184106
65+,,9/25/2021,34.13643658,4.145839804,1.494645433
65+,,10/2/2021,29.23563289,3.570696793,1.32012397
65+,,10/9/2021,26.9606213,3.206483903,1.695321639
65+,,10/16/2021,25.27967604,3.095444754,0.938903325
65+,,10/23/2021,22.75440949,3.079030311,0.618233053
65+,,10/30/2021,23.78384619,3.287974306,0.74189957
65+,,11/6/2021,25.63745329,3.526416268,0.744121133
65+,,11/13/2021,30.58464614,3.99186379,0.459383599
65+,,11/20/2021,36.80876466,4.541659857,0.601759348
65+,,11/27/2021,34.66624846,4.887724145,0.679092575
65+,,12/4/2021,47.70293183,5.310298172,0.800613741
65+,,12/11/2021,49.76403415,5.036412786,0.844285251
65+,,12/18/2021,40.47468073,3.805928496,0.894846287
65+,,12/25/2021,42.43441424,4.391201351,0.987879103
65+,,1/1/2022,56.53707011,8.987170253,2.124437864
All ages,,9/25/2021,9.351306066,0.862805218,0.368776244
All ages,,10/2/2021,7.742401221,0.746463817,0.924136757
All ages,,10/9/2021,6.882135981,0.650582386,0.645757438
All ages,,10/16/2021,6.423504929,0.636943114,0.383429725
All ages,,10/23/2021,5.700043219,0.619163677,0.231891129
All ages,,10/30/2021,5.802940589,0.640157424,0.200771866
All ages,,11/6/2021,6.290638327,0.706405372,0.173560105
All ages,,11/13/2021,7.25242721,0.785320986,0.115998093
All ages,,11/20/2021,8.614710147,0.91505899,0.195278911
All ages,,11/27/2021,8.14204069,0.973821506,0.237029475
All ages,,12/4/2021,10.92110449,1.069773261,0.175840449
All ages,,12/11/2021,11.25739194,0.983671979,0.190402536
All ages,,12/18/2021,9.253565242,0.796632687,0.20904447
All ages,,12/25/2021,9.269647023,0.881229657,0.218177972
All ages,,1/1/2022,12.058548,1.834460551,0.445151836
